eng_clean,urdu_clean
then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,پس اس کے شوہر یوسف نے جو راستباز تھا اور اسے بدنام کرنا نہیں چاہتا تھا اسے چپکے سے چھوڑ دینے کا ارادہ کیا .
and she shall bring forth a son and thou shalt call his name jesus for he shall save his people from their sins,اس کے بیٹا ہوگا اور تو اس کا نام یسوع رکھنا کیونکہ وہی اپنے لوگوں کو ان کے گناہوں سے نجات دے گا .
now all this was done that it might be fulfilled which was spoken of the lord by the prophet saying,یہ سب کچھ اس لئے ہوا کہ جو خداوند نے نبی کی معرفت کہا تھا وہ پورا ہو کہ
behold a virgin shall be with child and shall bring forth a son and they shall call his name emmanuel which being interpreted is god with us,دیکھو ایک کنواری حاملہ ہوگی اور بیٹا جنیگی اور اس کا نام اعّمانوایل رکھیں گے جس کا ترجمہ ہے خدا ہمارے ساتھ .
then joseph being raised from sleep did as the angel of the lord had bidden him and took unto him his wife,پس یوسف نے نیند سے جاگ کر ویسا ہی کیا جیسا خداوند کے فرشتہ نے اسے حکم دیا تھا اور اپنی بیوی کو اپنے ہاں لے آیا .
and knew her not till she had brought forth her firstborn son and he called his name jesus,اور اس کو نہ جانا جب تک اس کے بیٹا نہ ہوا اور اس کا نام یسوع رکھّا .
now when jesus was born in bethlehem of judaea in the days of herod the king behold there came wise men from the east to jerusalem,جب یسوع ہیرودیس بادشاہ کے زمانہ میں یہودیہ کے بیت لحم میں پیدا ہوا تو دیکھو کئی مجوسی پورب سے یروشلیم میں یہ کہتے ہوئے آئے کہ
saying where is he that is born king of the jews for we have seen his star in the east and are come to worship him,یہودیوں کا بادشاہ جو پیدا ہوا ہے وہ کہاں ہے کیونکہ پورب میں اس کا ستارہ دیکھ کر ہم اسے سجدہ کرنے آئے ہیں .
when herod the king had heard these things he was troubled and all jerusalem with him,یہ سنکر ہیرودیس بادشاہ اور اس کے ساتھ یروشلیم کے سب لوگ گھبرا گئے .
and when he had gathered all the chief priests and scribes of the people together he demanded of them where christ should be born,اور اس نے قوم کے سب سردار کاہنوں اور فقیہوں کو جمع کرکے ان سے پوچھا کہ مسیح کی پیدایش کہاں ہونی چاہئے
and they said unto him in bethlehem of judaea for thus it is written by the prophet,انہوں نے اس سے کہا یہودیہ کے بیت لحم میں کیونکہ نبی کی معرفت یوں لکھا گیا ہے کہ
and thou bethlehem in the land of juda art not the least among the princes of juda for out of thee shall come a governor that shall rule my people israel,اے بیت لحم یہوداہ کے علاقے تو یہوداہ کے حاکموں میں ہرگز سب سے چھوٹا نہیں . کیونکہ تجھ میں سے ایک سردار نکلے گا جو میری امّت اسرائیل کی گلّہ بانی کرے گا .
then herod when he had privily called the wise men enquired of them diligently what time the star appeared,اس پر ہیرودیس نے مجوسیوں کو چپکے سے بلا کر ان سے تحقیق کی کہ وہ ستارہ کس وقت دکھائی دیا تھا .
and he sent them to bethlehem and said go and search diligently for the young child and when ye have found him bring me word again that i may come and worship him also,اور یہ کہہ کر انہیں بیت لحم کو بھیجا کہ جاکر اس بچّے کی بابت ٹھیک ٹھیک دریافت کرو اور جب وہ ملے تو مجھے خبر دو تاکہ میں بھی آکر اسے سجدہ کروں .
when they had heard the king they departed and lo the star which they saw in the east went before them till it came and stood over where the young child was,وہ بادشاہ کی بات سن کر روانہ ہوئے اور دیکھو جو ستارہ انہوں نے پورب میں دیکھا تھا وہ ان کے آگے آگے چلا . یہاں تک کہ اس جگہ کے اوپر جاکر ٹھہر گیا جہاں وہ بچّہ تھا .
when they saw the star they rejoiced with exceeding great joy,وہ ستارے کو دیکھ کر نہایت خوش ہوئے .
and when they were come into the house they saw the young child with mary his mother and fell down and worshipped him and when they had opened their treasures they presented unto him gifts gold and frankincense and myrrh,اور اس گھر میں پہنچکر بچّے کو اس کی ماں مریم کے پاس دیکھا اور اس کے آگے گر کر سجدہ کیا اور اپنے ڈبّے کھول کر سونا اور لبان اور مر اس کو نذر کیا .
and being warned of god in a dream that they should not return to herod they departed into their own country another way,اور ہیرودیس کے پاس پھر نہ جانے کی ہدایت خواب میں پاکر دوسری راہ سے اپنے ملک کو روانہ ہوئے .
when he arose he took the young child and his mother by night and departed into egypt,پس وہ اٹھا اور رات کے وقت بچّے اور اس کی ماں کو ساتھ لے کر مصر کو روانہ ہوگیا .
and was there until the death of herod that it might be fulfilled which was spoken of the lord by the prophet saying out of egypt have i called my son,اور ہیرودیس کے مرنے تک وہیں رہا تاکہ جو خداوند نے نبی کی معرفت کہا تھا وہ پورا ہو کہ مصر میں سے میں نے اپنے بیٹے کو بلایا .
then was fulfilled that which was spoken by jeremy the prophet saying,اسوقت وہ بات پوری ہوئی جو یرمیاہ نبی کی معرفت کہی گئی تھی کہ
in rama was there a voice heard lamentation and weeping and great mourning rachel weeping for her children and would not be comforted because they are not,رامہ میں آواز سنائی دی . رونا اور بڑا ماتم . راخل اپنے بچّوں کو رو رہی ہے . اور تسلّی قبول نہیں کرتی اس لئے کو وہ نہیں ہیں .
but when herod was dead behold an angel of the lord appeareth in a dream to joseph in egypt,جب ہیرودیس مر گیا تو دیکھو خداوند کے فرشتہ نے مصر میں یوسف کو خواب میں دکھائی دے کر کہا کہ
saying arise and take the young child and his mother and go into the land of israel for they are dead which sought the young child s life,اٹھ اس بچّے اور اس کی ماں کو لے کر اسرائیل کے ملک میں چلا جا کیونکہ جو بچّے کی جان کے خواہاں تھے وہ مر گئے .
and he arose and took the young child and his mother and came into the land of israel,پس وہ اٹھا اور بچّے اور اس کی ماں کو ساتھ لے کر اسرائیل کے ملک میں آگیا .
but when he heard that archelaus did reign in judaea in the room of his father herod he was afraid to go thither notwithstanding being warned of god in a dream he turned aside into the parts of galilee,مگر جب سنا کہ ارخلاوس اپنے باپ ہیرودیس کی جگہ یہودیہ میں بادشاہی کرتا ہے تو وہاں جانے سے ڈرا اور خواب میں ہدایت پاکر گلیل کے علاقہ کو روانہ ہوگیا .
and he came and dwelt in a city called nazareth that it might be fulfilled which was spoken by the prophets he shall be called a nazarene,اور ناصرۃ نام ایک شہر میں جا بسا تاکہ جو نبیوں کی معرفت کہا گیا تھا وہ پورا ہو کہ وہ ناصری کہلائے گا .
in those days came john the baptist preaching in the wilderness of judaea,ان دنوں میں یوحنّا بپتسمہ دینے والا آیا اور یہودیہ کے بیابان میں یہ منادی کرنے لگا کہ
and saying repent ye for the kingdom of heaven is at hand,توبہ کرو کیونکہ آسمان کی بادشاہی نزدیک آگئی ہے .
for this is he that was spoken of by the prophet esaias saying the voice of one crying in the wilderness prepare ye the way of the lord make his paths straight,یہ وہی ہے جس کا ذکر یسعیاہ نبی کی معرفت یوں ہوا کہ بیابان میں پکارنے والے کی آواز آتی ہے کہ خداوند کی راہ تیّار کرو . اس کے راستے سیدھے بناو .
and the same john had his raiment of camel s hair and a leathern girdle about his loins and his meat was locusts and wild honey,یہ یوحنّا اونٹ کے بالوں کی پوشاک پہنے اور چمڑے کا پٹکا اپنی کمر سے باندھے رہتا تھا اور اس کی خوراک ٹڈیاں اور جنگلی شہد تھا .
then went out to him jerusalem and all judaea and all the region round about jordan,اسوقت یروشلیم اور سارے یہودیہ اور یردن کے گردونواح کے سب لوگ نکلکر اس کے پاس گئے .
and were baptized of him in jordan confessing their sins,اور اپنے گناہوں کا اقرار کرکے دریای یردن میں اس سے بپتسمہ لیا .
but when he saw many of the pharisees and sadducees come to his baptism he said unto them o generation of vipers who hath warned you to flee from the wrath to come,مگر جب اس نے بہت سے فریسیوں اور صدوقیوں کو بپتسمہ کے لئے اپنے پاس آتے دیکھا تو ان سے کہا کہ اے سانپ کے بچّو تم کو کس نے جتا دیا کہ آنے والے غضب سے بھاگو
bring forth therefore fruits meet for repentance,پس توبہ کے موافق پھل لاو .
and think not to say within yourselves we have abraham to our father for i say unto you that god is able of these stones to raise up children unto abraham,اور اپنے دلوں میں یہ کہنے کا خیال نہ کرو کہ ابرہام ہمارا باپ ہے کیونکہ میں تم سے کہتا ہوں کہ خدا ان پتھّروں سے ابرہام کے لئے اولاد پیدا کرسکتا ہے .
and now also the axe is laid unto the root of the trees therefore every tree which bringeth not forth good fruit is hewn down and cast into the fire,اور اب درختوں کی جڑ پر کلہاڑا رکھّا ہوا ہے . پس جو درخت اچھّا پھل نہیں لاتا وہ کاٹا اور آگ میں ڈالا جاتا ہے .
whose fan is in his hand and he will throughly purge his floor and gather his wheat into the garner but he will burn up the chaff with unquenchable fire,اس کا چھاج اس کے ہاتھ میں ہے اور وہ اپنے کھلیہان کو خوب صاف کرئے گا اور اپنے گیہوں کو تو کھتّے میں جمع کرے گا مگر بوسی کو اس آگ میں جلائے گا جو بھجنے کی نہیں .
then cometh jesus from galilee to jordan unto john to be baptized of him,اس وقت یسوع گلیل سے یردن کے کنارے یوحنّا کے پاس اس سے بپتسمہ لینے آیا .
but john forbad him saying i have need to be baptized of thee and comest thou to me,مگر یوحنّا یہ کہہ کر اسے منع کرنے لگا کہ میں آپ تجھ سے بپتسمہ لینے کا محتاج ہوں اور تو میرے پاس آیا ہے
and jesus answering said unto him suffer it to be so now for thus it becometh us to fulfil all righteousness then he suffered him,یسوع نے جواب میں اس سے کہا اب تو ہونے ہی دے کیونکہ ہمیں اسی طرح ساری راستبازی پوری کرنا مناسب ہے . اس پر اس نے ہونے دیا .
and jesus when he was baptized went up straightway out of the water and lo the heavens were opened unto him and he saw the spirit of god descending like a dove and lighting upon him,اور یسوع بپتسمہ لے کر فی الفور پانی کے پاس سے اوپر گیا اور دیکھو اس کے لئے آسمان کھل گیا اور اس نے خدا کے روح کو کبوتر کی مانند اترتے اور اپنے اوپر آتے دیکھا .
and lo a voice from heaven saying this is my beloved son in whom i am well pleased,اور دیکھو آسمان سے یہ آواز آئی کہ یہ میرا پیارا بیٹا ہے جس سے میں خوش ہوں .
then was jesus led up of the spirit into the wilderness to be tempted of the devil,اس وقت روح یسوع کو جنگل میں لے گیا تاکہ ابلیس سے آزمایا جائے .
and when he had fasted forty days and forty nights he was afterward an hungred,اور چالیس دن اور چالیس رات فاقہ کرکے آخر کو اسے بھوک لگی .
and when the tempter came to him he said if thou be the son of god command that these stones be made bread,اور آزمانے والے نے پاس آکر اس سے کہا اگر تو خدا کا بیٹا ہے تو فرما کہ یہ پتھّر روٹیاں بن جائیں .
but he answered and said it is written man shall not live by bread alone but by every word that proceedeth out of the mouth of god,اس نے جواب میں کہا لکھا ہے کہ آدمی صرف روٹی ہی سے جیتا نہ رہے گا بلکہ ہر بات سے جو خدا کے منہ سے نکلتی ہے .
then the devil taketh him up into the holy city and setteth him on a pinnacle of the temple,تب ابلیس اسے مقدّس شہر میں لے گیا اور ہیکل کے کنگرے پر کھڑا کرکے اس سے کہا کہ
jesus said unto him it is written again thou shalt not tempt the lord thy god,یسوع نے اس سے کہا یہ بھی لکھا ہے کہ تو خداوند اپنے خدا کی آزمایش نہ کر .
again the devil taketh him up into an exceeding high mountain and sheweth him all the kingdoms of the world and the glory of them,پھر ابلیس اسے ایک بہت انچے پہاڑ پر لے گیا اور دنیا کی سب سلطنتیں اور ان کی شان و شوکت اسے دکھائی .
and saith unto him all these things will i give thee if thou wilt fall down and worship me,اور اس سے کہا اگر تو جھک کر مجھے سجدہ کرئے تو یہ سب کچھ تجھے دے دونگا .
then saith jesus unto him get thee hence satan for it is written thou shalt worship the lord thy god and him only shalt thou serve,یسوع نے اس سے کہا اے شیطان دور ہو کیونکہ لکھا ہے کہ تو خداوند اپنے خدا کو سجدہ کر اور صرف اسی کی عبادت کر .
then the devil leaveth him and behold angels came and ministered unto him,تب ابلیس اس کے پاس سے چلا گیا اور دیکھو فرشتے آکر اس کی خدمت کرنے لگے .
now when jesus had heard that john was cast into prison he departed into galilee,جب اس نے سنا کے یوحنّا پکڑوا دیا گیا تو گلیل کو روانہ ہوا .
and leaving nazareth he came and dwelt in capernaum which is upon the sea coast in the borders of zabulon and nephthalim,اور ناصرۃ کو چھوڑ کر کفر نحوم میں جا بسا . جو جھیل کے کنارے زبولون اور نفتالی کی سرحد پر ہے .
that it might be fulfilled which was spoken by esaias the prophet saying,تاکہ جو یسعیاہ نبی کی معرفت کہا گیا تھا وہ پورا ہو کہ
the land of zabulon and the land of nephthalim by the way of the sea beyond jordan galilee of the gentiles,زبولون کا علاقہ اور نفتالی کا علاقہ دریا کی راہ یردن کے پار غیر قوموں کی گلیل .
the people which sat in darkness saw great light and to them which sat in the region and shadow of death light is sprung up,یعنی جو لوگ اندھیرے میں بیٹھے تھے انہوں نے بڑی روشنی دیکھی اور جو موت کے ملک اور سایہ میں بیٹھے تھے ان پر روشنی چمکی .
from that time jesus began to preach and to say repent for the kingdom of heaven is at hand,اس وقت سے یسوع نے منادی کرنا اور یہ کہنا شروع کیا کہ توبہ کرو کیونکہ آسمان کی بادشاہی نزدیک آ گئی ہے .
and jesus walking by the sea of galilee saw two brethren simon called peter and andrew his brother casting a net into the sea for they were fishers,اور اس نے گلیل کی جھیل کے کنارے پھرتے ہوئے دو بھائیوں یعنی شمعون جو پطرس کہلاتا ہے اور اس کے بھائی اندریاس کو جھیل میں جال ڈالتے دیکھا کیونکہ وہ ماہی گیر تھے .
and he saith unto them follow me and i will make you fishers of men,اور ان سے کہا میرے پیچھے چلے آو تو میں تم کو آدم گیر بناونگا .
and they straightway left their nets and followed him,وہ فورا جال چھوڑ کر اس کے پیچھے ہو لئے .
and going on from thence he saw other two brethren james the son of zebedee and john his brother in a ship with zebedee their father mending their nets and he called them,اور وہاں سے آگے بڑھ کر اس نے اور دو بھائیوں یعنی زبدی کے بیٹے یعقوب اور اس کے بھائی یوحنّا کو دیکھا کہ اپنے باپ زبدی کے ساتھ کشتی پر اپنے جالوں کی مرمّت کر رہے ہیں اور ان کو بلایا .
and they immediately left the ship and their father and followed him,وہ فورا کشتی اور اپنے باپ کو چھوڑ کر اس کے پیچھے ہو لئے .
and jesus went about all galilee teaching in their synagogues and preaching the gospel of the kingdom and healing all manner of sickness and all manner of disease among the people,اور یسوع تمام گلیل میں پھرتا رہا اور ان کے عبادت خانوں میں تعلیم دیتا اور بادشاہی کی خوشخبری کی منادی کرتا اور لوگوں کی ہر طرح کی بیماری اور ہر طرح کی کمزوری کو دور کرتا رہا .
and there followed him great multitudes of people from galilee and from decapolis and from jerusalem and from judaea and from beyond jordan,اور گلیل اور دکپلس اور یروشلیم اور یہودیہ اور یردن کے پار بڑی بھیڑ اس کے پیچھے ہولی .
and seeing the multitudes he went up into a mountain and when he was set his disciples came unto him,وہ اس بھیڑ کو دیکھ کر پہاڑ پر چڑھ گیا اور جب بیٹھ گیا تو اس کے شاگرد اس کے پاس آئے .
and he opened his mouth and taught them saying,اور وہ اپنی زبان کھولکر ان کو یوں تعلیم دینے لگا .
blessed are the poor in spirit for theirs is the kingdom of heaven,مبارک ہیں وہ جو دل کے غریب ہیں کیونکہ آسمان کی بادشاہی ان ہی کی ہے .
blessed are they that mourn for they shall be comforted,مبارک ہیں وہ جو غمگین ہیں کیونکہ وہ تسلّی پائیں گے .
blessed are the meek for they shall inherit the earth,مبارک ہیں وہ جو حلیم ہیں کیونکہ وہ زمین کے وارث ہونگے .
blessed are they which do hunger and thirst after righteousness for they shall be filled,مبارک ہیں وہ جو راستبازی کے بھوکے اور پیاسے ہیں کیونکہ وہ آسودہ ہونگے .
blessed are the merciful for they shall obtain mercy,مبارک ہیں وہ جو رحمدل ہیں کیونکہ ان پر رحم کیا جائے گا .
blessed are the pure in heart for they shall see god,مبارک ہیں وہ جو پاک دل ہیں کیونکہ وہ خدا کو دیکھیں گے .
blessed are the peacemakers for they shall be called the children of god,مبارک ہیں وہ جو صلح کراتے ہیں کیونکہ وہ خدا کے بیٹے کہلائیں گے .
blessed are they which are persecuted for righteousness sake for theirs is the kingdom of heaven,مبارک ہیں وہ جو راستبازی کے سبب سے ستائے گئے ہیں کیونکہ آسمان کی بادشاہی ان ہی کی ہے .
blessed are ye when men shall revile you and persecute you and shall say all manner of evil against you falsely for my sake,جب میرے سبب سے لوگ تم کو لعن طعن کریں گے اور ستائیں گے اور ہر طرح کی بری باتیں تمہاری نسبت ناحق کہیں گے تو تم مبارک ہوگے .
rejoice and be exceeding glad for great is your reward in heaven for so persecuted they the prophets which were before you,خوشی کرنا اور نہایت شادمان ہونا کیونکہ آسمان پر تمہارا اجر بڑا ہے اس لئے کے لوگوں نے ان نبیوں کو بھی جو تم سے پہلے تھے اسی طرح ستایا تھا .
ye are the salt of the earth but if the salt have lost his savour wherewith shall it be salted it is thenceforth good for nothing but to be cast out and to be trodden under foot of men,تم زمین کے نمک ہو لیکن اگر نمک کا مزہ جاتا رہے تو وہ کس چیز سے نمکین کیا جائے گا پھر وہ کسی کام کا نہیں سوا اس کے کہ باہر پھینکا جائے اور آدمیوں کے پاوں کے نیچے روندا جائے .
ye are the light of the world a city that is set on an hill cannot be hid,تم دنیا کے نور ہو . جو شہر پہاڑ پر بسا ہے وہ چھپ نہیں سکتا .
neither do men light a candle and put it under a bushel but on a candlestick and it giveth light unto all that are in the house,اور چراغ جلا کر پیمانہ کے نیچے نہیں بلکہ چراغدان پر رکھتے ہیں تو اس سے گھر کے سب لوگوں کو روشنی پہنچتی ہے .
let your light so shine before men that they may see your good works and glorify your father which is in heaven,اسی طرح تمہاری روشنی آدمیوں کے سامنے چمکے تاکہ وہ تمہارے نیک کاموں کو دیکھ کر تمہارے باپ کی جو آسمان پر ہے تمجید کریں .
think not that i am come to destroy the law or the prophets i am not come to destroy but to fulfil,یہ نہ سمجھو کہ میں توریت یا نبیوں کی کتابوں کو منسوخ کرنے آیا ہوں . منسوخ کرنے نہیں بلکہ پورا کرنے آیا ہوں .
for verily i say unto you till heaven and earth pass one jot or one tittle shall in no wise pass from the law till all be fulfilled,کیونکہ میں تم سے سچ کہتا ہوں کہ جب تک آسمان اور زمین ٹل نہ جائیں ایک نقطہ یا ایک شوشہ توریت سے ہرگز نہ ٹلے گا جب تک سب کچھ پورا نہ ہو جائے .
for i say unto you that except your righteousness shall exceed the righteousness of the scribes and pharisees ye shall in no case enter into the kingdom of heaven,کیونکہ میں تم سے کہتا ہوں کہ اگر تمہاری راستبازی فقیہوں اور فریسیوں کی راستبازی سے زیادہ نہ ہوگی تو تم آسمان کی بادشاہی میں ہرگز داخل نہ ہوگے .
ye have heard that it was said by them of old time thou shalt not kill and whosoever shall kill shall be in danger of the judgment,تم سن چکے ہوکہ اگلوں سے کہا گیا تھا کہ خون نہ کرنا اور جو کوئی خون کرے گا وہ عدالت کی سزا کے لائق ہوگا .
therefore if thou bring thy gift to the altar and there rememberest that thy brother hath ought against thee,پس اگر تّو قربان گاہ پر اپنی نذر گزرانتا ہو اور وہاں تجھے یاد آئے کہ میرے بھائی کو مجھ سے کچھ شکایت ہے .
leave there thy gift before the altar and go thy way first be reconciled to thy brother and then come and offer thy gift,تو وہیں قربانگاہ کے آگے اپنی نذر چھوڑ دے اور جاکر پہلے اپنے بھائی سے ملاپ کر تب آکر اپنی نذر گزران .
agree with thine adversary quickly whiles thou art in the way with him lest at any time the adversary deliver thee to the judge and the judge deliver thee to the officer and thou be cast into prison,جب تک تو اپنے مدّعی کے ساتھ راہ میں ہے اس سے جلدی صلح کرلے . کہیں ایسا نہ ہوکہ مدّعی تجھے منصف کے حوالہ کردے اور منصف تجھے سپاہی کے حوالہ کردے اور تو قید خانہ میں ڈالا جائے .
verily i say unto thee thou shalt by no means come out thence till thou hast paid the uttermost farthing,میں تجھ سے سچ کہتا ہوں کہ جب تک تو کوڑی کوڑی ادا نہ کردے گا وہاں سے ہرگز نہ چھوٹے گا .
ye have heard that it was said by them of old time thou shalt not commit adultery,تم سن چکے ہو کہ کہا گیا تھا کہ زنا نہ کرنا .
but i say unto you that whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart,لیکن میں تم سے یہ کہتا ہوں کہ جس کسی نے بری خواہش سے کسی عورت پر نگاہ کی وہ اپنے دل میں اس کے ساتھ زنا کرچکا .
and if thy right eye offend thee pluck it out and cast it from thee for it is profitable for thee that one of thy members should perish and not that thy whole body should be cast into hell,پس اگر تیری دہنی آنکھ تجھے ٹھوکر کھلائے تو اسے نکال کر اپنے پاس سے پھینک دے کیونکہ تیرے لئے یہی بہتر ہے کہ تیرے اعضا میں سے ایک جاتا رہے اور تیرا سارا بدن جہنّم میں نہ ڈالا جائے .
and if thy right hand offend thee cut it off and cast it from thee for it is profitable for thee that one of thy members should perish and not that thy whole body should be cast into hell,اور اگر تیرا دہنا ہاتھ تجھے ٹھوکر کھلائے تو اس کو کاٹ کر اپنے پاس سے پھینک دے کیونکہ تیرے لئے یہی بہتر ہے کہ تیرے اعضا میں سے ایک جاتا رہے اور تیرا سارا بدن جہنّم میں نہ جائے .
it hath been said whosoever shall put away his wife let him give her a writing of divorcement,یہ بھی کہا گیا تھا کہ جو کوئی اپنی بیوی کو چھوڑے اسے طلاق نامہ لکھ دے .
but i say unto you that whosoever shall put away his wife saving for the cause of fornication causeth her to commit adultery and whosoever shall marry her that is divorced committeth adultery,لیکن میں تم سے یہ کہتا ہوں کہ جو کوئی اپنی بیوی کو حرامکاری کے سوا کسی اور سبب سے چھوڑ دے وہ اس سے زنا کراتا ہے اور جو کوئی اس چھوڑی ہوئی سے بیاہ کرے وہ زنا کرتا ہے .
again ye have heard that it hath been said by them of old time thou shalt not forswear thyself but shalt perform unto the lord thine oaths,پھر تم سن چکے ہو کہ اگلوں سے کہا گیا تھا کہ جھوٹی قسم نہ کھانا بلکہ اپنی قسمیں خداوند کے لئے پوری کرنا .
but i say unto you swear not at all neither by heaven for it is god s throne,لیکن میں تم سے یہ کہتا ہوں کہ بالکل قسم نہ کھانا . نہ تو آسمان کی کیونکہ وہ خدا کا تخت ہے .
nor by the earth for it is his footstool neither by jerusalem for it is the city of the great king,نہ زمین کی کیونکہ وہ اس کے پاوں کی چوکی ہے . نہ یروشلیم کی کیونکہ وہ بزرگ بادشاہ کا شہر ہے .
neither shalt thou swear by thy head because thou canst not make one hair white or black,نہ اپنے سر کی قسم کھانا کیونکہ تو ایک بال کو بھی سفید یا کالا نہیں کرسکتا .
but let your communication be yea yea nay nay for whatsoever is more than these cometh of evil,بلکہ تمہارا کلام ہاں ہاں یا نہیں نہیں ہو کیونکہ جو اس سے زیادہ ہے وہ بدی سے ہے .
ye have heard that it hath been said an eye for an eye and a tooth for a tooth,تم سن چکے ہو کہ کہا گیا تھا کہ آنکھ کے بدلے آنکھ اور دانت کے بدلے دانت .
but i say unto you that ye resist not evil but whosoever shall smite thee on thy right cheek turn to him the other also,لیکن میں تم سے یہ کہتا ہوں کہ شریر کا مقابلہ نہ کرنا بلکہ جو کوئی تیرے دہنا گال پر طمانچہ مارے دوسرا بھی اس کی طرف پھیر دے .
and if any man will sue thee at the law and take away thy coat let him have thy cloke also,اور اگر کوئی تجھ پر نالش کرکے تیرا کرتا لینا چاہے تو چوغہ بھی اسے لے لینے دے .
and whosoever shall compel thee to go a mile go with him twain,اور جو کوئی تجھے ایک کوس بیگار میں لے جائے اس کے ساتھ دو کوس چلا جا .
give to him that asketh thee and from him that would borrow of thee turn not thou away,جو کوئی تجھ سے مانگے اسے دے اور جو تجھ سے قرض چاہے اس سے منہ نہ موڑ .
ye have heard that it hath been said thou shalt love thy neighbour and hate thine enemy,تم سن چکے ہو کہ کہا گیا تھا کہ اپنے پڑوسی سے محبّت رکھ اور اپنے دشمن سے عداوت .
but i say unto you love your enemies bless them that curse you do good to them that hate you and pray for them which despitefully use you and persecute you,لیکن میں تم سے یہ کہتا ہوں کہ اپنے دشمنوں سے محبّت رکھّو اور اپنے ستانے والوں کے لئے دعا کرو .
that ye may be the children of your father which is in heaven for he maketh his sun to rise on the evil and on the good and sendeth rain on the just and on the unjust,تاکہ تم اپنے باپ کے جو آسمان پر ہے بیٹے ٹھہرو کیونکہ وہ اپنے سورج کو بدوں اور نیکوں دونوں پر چمکاتا ہے اور راستبازوں اور ناراستوں دونوں پر مینہ برساتا ہے .
