sample_id,source,reference,hypothesis,sent_bleu,errors,ref_len,hyp_len
10,but let your communication be yea yea nay nay for whatsoever is more than these cometh of evil,بلکہ تمہارا کلام ہاں ہاں یا نہیں نہیں ہو کیونکہ جو اس سے زیادہ ہے وہ بدی سے ہے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.88,Minor Errors,20,22
11,and if any man will sue thee at the law and take away thy coat let him have thy cloke also,اور اگر کوئی تجھ پر نالش کرکے تیرا کرتا لینا چاہے تو چوغہ بھی اسے لے لینے دے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.2,Semantic Mismatch,19,22
12,therefore when thou doest thine alms do not sound a trumpet before thee as the hypocrites do in the synagogues and in the streets that they may have glory of men verily i say unto you they have their reward,پس جب تو خیرات کرے تو اپنے آگے نرسنگا نہ بجوا جیسا ریاکار عبادت خانوں اور کوچوں میں کرتے ہیں تاکہ لوگ ان کی بڑائی کریں . میں تم سے سچ کہتا ہوں کہ وہ اپنا اجر پا چکے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,12.99,Minor Errors,40,22
13,for where your treasure is there will your heart be also,کیونکہ جہاں تیرا مال ہے وہیں تیرا دل بھی لگا رہے گا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.2,Semantic Mismatch,13,22
14,and yet i say unto you that even solomon in all his glory was not arrayed like one of these,تو بھی میں تم سے کہتا ہوں کہ سلیمان بھی باوجود اپنی ساری شان وشوکت کے ان میں سے کسی کی مانند ملبّس نہ تھا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,9.08,Minor Errors,26,22
15,wherefore if god so clothe the grass of the field which to day is and to morrow is cast into the oven shall he not much more clothe you o ye of little faith,پس جب خدا میدان کی گھاس کو جو آج ہے اور کل تنور میں جھونکی جائے گی ایسی پوشاک پہناتا ہے تو اے کم اعتقادو تم کو کیوں نہ پہنائے گا,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.05,Semantic Mismatch,31,22
16,give not that which is holy unto the dogs neither cast ye your pearls before swine lest they trample them under their feet and turn again and rend you,پاک چیز کتّوں کو نہ دو اور اپنے موتی سوروں کے آگے نہ ڈالو . ایسا نہ ہو کہ وہ ان کو پاوں کے تلے روندیں اور پلٹ کر تم کو پھاڑیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.09,Semantic Mismatch,33,22
17,ask and it shall be given you seek and ye shall find knock and it shall be opened unto you,مانگو تو تم کو دیا جائے گا . ڈھونڈو تو پاو گے . دروازہ کھٹکھٹاو تو تمہارے واسطے کھولا جائے گا .,اس نے ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کوئی خدا سے محبّت رکھتا ہے وہ خدا کی بادشاہی میں داخل ہونا ضرور ہے .,1.14,Semantic Mismatch,22,29
18,beware of false prophets which come to you in sheep s clothing but inwardly they are ravening wolves,جھوٹے نبیوں سے خبردار رہو جو تمہارے پاس بھیڑوں کے بھیس میں آتے ہیں مگر باطن میں پھاڑنے والے بھیڑئے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,3.57,Minor Errors,22,22
19,therefore whosoever heareth these sayings of mine and doeth them i will liken him unto a wise man which built his house upon a rock,پس جو کوئی میری یہ باتیں سنتا اور ان پر عمل کرتا ہے وہ اس عقلمند آدمی کی مانند ٹھہریگا جس نے چٹان پر اپنا گھر بنایا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.37,Semantic Mismatch,28,22
20,when jesus heard it he marvelled and said to them that followed verily i say unto you i have not found so great faith no not in israel,یسوع نے یہ سنکر تعّجب کیا اور پیچے آنے والوں سے کہا میں تم سے سچ کہتا ہوں کہ میں نے اسرائیل میں بھی ایسا ایمان نہیں پایا .,اس نے ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کوئی خدا سے محبّت رکھتا ہے وہ خدا کی بادشاہی میں داخل ہونا ضرور ہے .,29.0,Acceptable,29,29
21,and when he was entered into a ship his disciples followed him,جب وہ کشتی پر چڑھا تو اس کے شاگرد تو اس کے ساتھ ہولئے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.43,Semantic Mismatch,15,22
22,and when he was come to the other side into the country of the gergesenes there met him two possessed with devils coming out of the tombs exceeding fierce so that no man might pass by that way,جب وہ اس پار گدرینیوں کے ملک میں پہنچا تو دو آدمی جن میں بدروحیں تھیں قبروں سے نکلکر اس سے ملے . وہ ایسے تند مزاج تھے کہ کوئی اس راستہ سے گزر نہیں سکتا تھا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,0.95,Semantic Mismatch,38,22
23,for whether is easier to say thy sins be forgiven thee or to say arise and walk,آسان کیا ہے . یہ کہنا کہ تیرے گناہ معاف ہوئے یا یہ کہنا کہ اٹھ اور چل پھر,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.43,Semantic Mismatch,19,22
24,no man putteth a piece of new cloth unto an old garment for that which is put in to fill it up taketh from the garment and the rent is made worse,کورے کپڑے کا پیوند پرانی پوشاک میں کوئی نہیں لگاتا کیونکہ وہ پیوند پوشاک میں سے کچھ کھینچ لیتا ہے اور وہ زیادہ پھٹ جاتی ہے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.43,Semantic Mismatch,27,22
25,he said unto them give place for the maid is not dead but sleepeth and they laughed him to scorn,تو کہا ہٹ جاو کیونکہ لڑکی مری نہیں بلکہ سوتی ہے . وہ اس پر ہنسنے لگے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.58,Semantic Mismatch,18,22
26,but the pharisees said he casteth out devils through the prince of the devils,مگر فریسیوں نے کہا کہ یہ تو بدروحوں کے سردار کی مدد سے بدروحوں کو نکالتا ہے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.8,Minor Errors,18,22
27,now the names of the twelve apostles are these the first simon who is called peter and andrew his brother james the son of zebedee and john his brother,اور بارہ رسولوں کے نام یہ ہیں . پہلا شمعون جو پطرس کہلاتا ہے اور اس کا بھائی اندریاس . زبدی کا بیٹا یعقوب اور اس کا بھائی یوحنّا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,2.25,Semantic Mismatch,30,22
28,but the very hairs of your head are all numbered,بلکہ تمہارے سر کے بال بھی سب گنے ہوئے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,2.72,"Hallucination / Over-generation, Semantic Mismatch",11,22
29,the blind receive their sight and the lame walk the lepers are cleansed and the deaf hear the dead are raised up and the poor have the gospel preached to them,کہ اندھے دیکھتے اور لنگڑے چلتے پھرتے ہیں . کوڑی پاک صاف کئے جاتے اور بہرے سنتے ہیں اور مردے زندہ کئے جاتے ہیں اور غریبوں کو خوشخبری سنائی جاتی ہے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,2.58,Minor Errors,32,22
30,and from the days of john the baptist until now the kingdom of heaven suffereth violence and the violent take it by force,اور یوحنّا بپتسمہ دینے والے کے دنوں سے اب تک آسمان کی بادشاہی پر زور ہوتا رہا ہے اور زورآور اسے چھین لیتے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,2.62,Semantic Mismatch,25,22
31,he that hath ears to hear let him hear,جس کے سننے کے کان ہوں وہ سن لے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.43,Hallucination / Over-generation,10,22
32,for my yoke is easy and my burden is light,کیونکہ میرا جوا ملائم ہے اور میرا بوجھ ہلکا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.2,"Hallucination / Over-generation, Semantic Mismatch",10,22
33,at that time jesus went on the sabbath day through the corn and his disciples were an hungred and began to pluck the ears of corn and to eat,اس وقت یسوع سبت کے دن کھیتوں میں ہوکر گیا اور اس کے شاگردوں کو بھوک لگی اور وہ بالیں توڑ توڑ کر کھانے لگے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.32,Semantic Mismatch,26,22
34,and charged them that they should not make him known,اور ان کو تاکید کی کہ مجھے ظاہر نہ کرنا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.58,Hallucination / Over-generation,11,22
35,and in his name shall the gentiles trust,اور اس کے نام سے غیرقومیں امّید رکھیں گی .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.58,Hallucination / Over-generation,10,22
36,but if i cast out devils by the spirit of god then the kingdom of god is come unto you,لیکن اگر میں خدا کی روح کی مدد سے بدروحوں کو نکالتا ہوں تو خدا کی بادشاہی تمہارے پاس آپہنچی .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.7,Minor Errors,21,22
37,let both grow together until the harvest and in the time of harvest i will say to the reapers gather ye together first the tares and bind them in bundles to burn them but gather the wheat into my barn,کٹائی تک دونوں کو اکٹھّا بڑھنے دو اور کٹائی کے وقت میں کاٹنے والوں سے کہہ دونگا کہ پہلے کڑوے دانے جمع کرلو اور جلانے کے لئے ان کے گٹھّے باندھ لو اور گیہوں میرے کھتّے میں جمع کردو .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,0.83,Semantic Mismatch,40,22
38,jesus saith unto them have ye understood all these things they say unto him yea lord,کیا تم یہ سب باتیں سمجھ گئے انہوں نے اس سےکہا ہاں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.7,Minor Errors,13,22
39,and the king was sorry nevertheless for the oath s sake and them which sat with him at meat he commanded it to be given her,بادشاہ غمگین ہوا مگر اپنی قسموں اور مہمانوں کے سبب سے اس نے حکم دیا کہ دیدیا جائے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,3.42,Minor Errors,19,22
40,and they say unto him we have here but five loaves and two fishes,انہوں نے اس سے کہا کہ یہاں ہمارے پاس پانچ روٹیوں اور دو مچھلیوں کے سوا اور کچھ نہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,3.72,Minor Errors,20,22
41,then they that were in the ship came and worshipped him saying of a truth thou art the son of god,اور جو کشتی پر تھے انہوں نے اسے سجدہ کر کے کہا یقینا تو خدا کا بیٹا ہے .,اس نے ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کوئی خدا سے محبّت رکھتا ہے وہ خدا کی بادشاہی میں داخل ہونا ضرور ہے .,2.78,Minor Errors,19,29
42,and when they were gone over they came into the land of gennesaret,وہ پار جاکرگنیسرت کے علاقہ میں پہنچے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.43,Hallucination / Over-generation,8,22
43,then came to jesus scribes and pharisees which were of jerusalem saying,اس وقت فریسیوں اور فقیہوں نے یروشلیم سے یسوع کے پاس آکر کہا کہ,اس نے ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کوئی خدا سے محبّت رکھتا ہے وہ خدا کی بادشاہی میں داخل ہونا ضرور ہے .,1.43,Hallucination / Over-generation,14,29
44,but ye say whosoever shall say to his father or his mother it is a gift by whatsoever thou mightest be profited by me,مگر تم کہتے ہو کہ جو کوئی باپ یا ماں سے کہے کہ جس چیز کا تجھے مجھ سے فائدہ پہنچ سکتا تھا وہ خدا کی نذر ہوچکی .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,2.7,Minor Errors,29,22
45,these are the things which defile a man but to eat with unwashen hands defileth not a man,یہی باتیں ہیں جو آدمی کو ناپاک کرتی ہیں مگر بغیر ہاتھ دھوئے کھانا کھانا آدمی کو ناپاک نہیں کرتا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.58,Semantic Mismatch,21,22
46,and his disciples say unto him whence should we have so much bread in the wilderness as to fill so great a multitude,شاگردوں نے اس سے کہا بیابان میں ہم اتنی روٹیاں کہاں سے لائیں کہ ایسی بڑی بھیڑ کو سیر کریں,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,3.72,Minor Errors,20,22
47,and he sent away the multitude and took ship and came into the coasts of magdala,پھر وہ بھیڑ کو رخصت کرکے کشتی میں سوار ہوا اور مگدن کی سرحدوں میں آگیا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.58,Semantic Mismatch,17,22
48,he answered and said unto them when it is evening ye say it will be fair weather for the sky is red,اس نے جواب میں ان سے کہا کہ شام کو تم کہتے ہو کہ کھلا رہے گا کیونکہ آسمان لال ہے .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,29.45,Acceptable,22,22
49,then said jesus unto his disciples if any man will come after me let him deny himself and take up his cross and follow me,اس وقت یسوع نے اپنے شاگردوں سے کہا کہ اگر کوئی میرے پیچھے آنا چاہے تو اپنی خودی کا انکار کرے اور اپنی صلیب اٹھائے اور میرے پیچھے ہولے .,اس نے ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کوئی خدا سے محبّت رکھتا ہے وہ خدا کی بادشاہی میں داخل ہونا ضرور ہے .,2.79,Minor Errors,30,29
